tahun_pelaporan,semester,tahun,nama_program_studi,jenjang,status_prodi,akreditasi_prodi,nama_universitas,jumlah_mahasiswa,jumlah_dosen_penghitung_rasio,dosen_tetap,dosen_tidak_tetap,total_dosen,rasio_dosen_mahasiswa,nilai_rasio,kota,provinsi,kode_pt,fakultas,rumpun_ilmu
Ganjil 2024,Ganjil,2024,Pendidikan Ekonomi,S1,Aktif,Unggul,Universitas Siliwangi,627,17,16,0,16,1:36.88,36.88,Kota Tasikmalaya,Prov. Jawa Barat,002008,FKIP,Sosial
Ganjil 2024,Ganjil,2024,Pendidikan Fisika,S1,Aktif,Unggul,Universitas Siliwangi,454,15,10,0,10,1:30.27,30.27,Kota Tasikmalaya,Prov. Jawa Barat,002008,FKIP,Sains
Ganjil 2024,Ganjil,2024,Pendidikan Geografi,S2,Aktif,Baik Sekali,Universitas Siliwangi,40,9,4,0,4,1:4.44,4.44,Kota Tasikmalaya,Prov. Jawa Barat,002008,FKIP,Sosial
Ganjil 2024,Ganjil,2024,Pendidikan Geografi,S1,Aktif,Unggul,Universitas Siliwangi,591,15,12,0,12,1:39.4,39.4,Kota Tasikmalaya,Prov. Jawa Barat,002008,FKIP,Sosial
Ganjil 2024,Ganjil,2024,Pendidikan Ilmu Pengetahuan Alam,S2,Aktif,Baik,Universitas Siliwangi,39,13,6,0,6,1:3,3.0,Kota Tasikmalaya,Prov. Jawa Barat,002008,FKIP,Sains
Ganjil 2024,Ganjil,2024,Pendidikan Jasmani,S2,Aktif,Baik,Universitas Siliwangi,17,5,5,0,5,1:3.4,3.4,Kota Tasikmalaya,Prov. Jawa Barat,002008,FKIP,Sosial
Ganjil 2024,Ganjil,2024,Pendidikan Jasmani,S1,Aktif,Unggul,Universitas Siliwangi,1322,36,27,0,27,1:36.72,36.72,Kota Tasikmalaya,Prov. Jawa Barat,002008,FKIP,Sosial
Ganjil 2024,Ganjil,2024,Pendidikan Kependudukan & Lingkungan Hidup,S2,Alih Bentuk,-,Universitas Siliwangi,0,0,0,0,0,-,,Kota Tasikmalaya,Prov. Jawa Barat,002008,FKIP,Sosial
Ganjil 2024,Ganjil,2024,Pendidikan Masyarakat,S1,Aktif,Unggul,Universitas Siliwangi,585,10,11,1,12,1:58.5,58.5,Kota Tasikmalaya,Prov. Jawa Barat,002008,FKIP,Sosial
Ganjil 2024,Ganjil,2024,Pendidikan Matematika,S2,Aktif,Baik Sekali,Universitas Siliwangi,55,6,5,0,5,1:9.17,9.17,Kota Tasikmalaya,Prov. Jawa Barat,002008,FKIP,Sains
Ganjil 2024,Ganjil,2024,Pendidikan Matematika,S1,Aktif,Unggul,Universitas Siliwangi,715,30,17,0,17,1:23.83,23.83,Kota Tasikmalaya,Prov. Jawa Barat,002008,FKIP,Sains
Ganjil 2024,Ganjil,2024,Pendidikan Profesi Guru,Profesi,Aktif,Baik Sekali,Universitas Siliwangi,4546,100,12,0,12,1:45.46,45.46,Kota Tasikmalaya,Prov. Jawa Barat,002008,FKIP,Sosial
Ganjil 2024,Ganjil,2024,Pendidikan Sejarah,S1,Aktif,Unggul,Universitas Siliwangi,660,12,11,0,11,1:55,55.0,Kota Tasikmalaya,Prov. Jawa Barat,002008,FKIP,Sosial
Ganjil 2024,Ganjil,2024,Perbankan dan Keuangan,D3,Aktif,B,Universitas Siliwangi,584,21,12,3,15,1:27.81,27.81,Kota Tasikmalaya,Prov. Jawa Barat,002008,FEB,Sosial
Ganjil 2024,Ganjil,2024,Perbankan dan Keuangan Digital,D4,Aktif,Baik,Universitas Siliwangi,0,0,5,0,5,-,,Kota Tasikmalaya,Prov. Jawa Barat,002008,FEB,Sosial
Ganjil 2024,Ganjil,2024,Sains Data,S1,Aktif,-,Universitas Siliwangi,0,0,0,0,0,-,,Kota Tasikmalaya,Prov. Jawa Barat,002008,FT,Sains
Ganjil 2024,Ganjil,2024,Sistem Informasi,S1,Aktif,Baik Sekali,Universitas Siliwangi,249,15,13,1,14,1:16.6,16.6,Kota Tasikmalaya,Prov. Jawa Barat,002008,FT,Sains
Ganjil 2024,Ganjil,2024,Teknik Elektro,S1,Aktif,Baik Sekali,Universitas Siliwangi,443,23,16,2,18,1:19.26,19.26,Kota Tasikmalaya,Prov. Jawa Barat,002008,FT,Sains
Ganjil 2024,Ganjil,2024,Teknik Sipil,S1,Aktif,Baik,Universitas Siliwangi,560,19,23,1,24,1:29.47,29.47,Kota Tasikmalaya,Prov. Jawa Barat,002008,FT,Sains
Ganjil 2024,Ganjil,2024,Teknologi Pangan dan Hasil Pertanian,S1,Aktif,-,Universitas Siliwangi,88,22,7,0,7,1:4,4.0,Kota Tasikmalaya,Prov. Jawa Barat,002008,Faperta,Sains
Ganjil 2025,Ganjil,2025,Agribisnis,S1,Aktif,Baik Sekali,Universitas Siliwangi,792,62,22,0,22,1:12.77,12.77,Kota Tasikmalaya,Prov. Jawa Barat,002008,Faperta,Sains
Ganjil 2025,Ganjil,2025,Agribisnis,S2,Aktif,Baik Sekali,Universitas Siliwangi,53,11,5,0,5,1:4.82,4.82,Kota Tasikmalaya,Prov. Jawa Barat,002008,Faperta,Sains
Ganjil 2025,Ganjil,2025,Agroteknologi,S2,Aktif,Baik,Universitas Siliwangi,23,11,3,2,5,1:2.09,2.09,Kota Tasikmalaya,Prov. Jawa Barat,002008,Faperta,Sains
Ganjil 2025,Ganjil,2025,Agroteknologi,S1,Aktif,Baik Sekali,Universitas Siliwangi,630,44,20,0,20,1:14.32,14.32,Kota Tasikmalaya,Prov. Jawa Barat,002008,Faperta,Sains
Ganjil 2025,Ganjil,2025,Akuntansi,S1,Aktif,Baik Sekali,Universitas Siliwangi,1417,31,26,1,27,1:45.71,45.71,Kota Tasikmalaya,Prov. Jawa Barat,002008,FEB,Sosial
Ganjil 2025,Ganjil,2025,Ekonomi Pembangunan,S1,Aktif,Baik Sekali,Universitas Siliwangi,1375,35,25,1,26,1:39.29,39.29,Kota Tasikmalaya,Prov. Jawa Barat,002008,FEB,Sosial
Ganjil 2025,Ganjil,2025,Ekonomi Syari'ah,S1,Aktif,B,Universitas Siliwangi,809,21,17,0,17,1:38.52,38.52,Kota Tasikmalaya,Prov. Jawa Barat,002008,FEB,Sosial
Ganjil 2025,Ganjil,2025,Gizi,S1,Aktif,Baik Sekali,Universitas Siliwangi,606,19,18,0,18,1:31.89,31.89,Kota Tasikmalaya,Prov. Jawa Barat,002008,FIK,Sains
Ganjil 2025,Ganjil,2025,Hukum Bisnis,S1,Aktif,-,Universitas Siliwangi,0,0,5,0,5,-,,Kota Tasikmalaya,Prov. Jawa Barat,002008,FEB,Sosial
Ganjil 2025,Ganjil,2025,Ilmu Manajemen,S3,Aktif,Baik,Universitas Siliwangi,17,8,5,0,5,1:2.13,2.13,Kota Tasikmalaya,Prov. Jawa Barat,002008,FEB,Sosial
Ganjil 2025,Ganjil,2025,Ilmu Pertanian,S3,Aktif,Terakreditasi Sementara,Universitas Siliwangi,6,9,5,1,6,1:0.67,0.67,Kota Tasikmalaya,Prov. Jawa Barat,002008,Faperta,Sains
Ganjil 2025,Ganjil,2025,Ilmu Politik,S1,Aktif,Unggul,Universitas Siliwangi,923,21,21,0,21,1:43.95,43.95,Kota Tasikmalaya,Prov. Jawa Barat,002008,FISIP,Sosial
Ganjil 2025,Ganjil,2025,Informatika,S1,Aktif,Baik Sekali,Universitas Siliwangi,941,28,22,2,24,1:33.61,33.61,Kota Tasikmalaya,Prov. Jawa Barat,002008,FT,Sains
Ganjil 2025,Ganjil,2025,Kesehatan Masyarakat,S1,Aktif,-,Universitas Siliwangi,795,21,23,0,23,1:37.86,37.86,Kota Tasikmalaya,Prov. Jawa Barat,002008,FIK,Sains
Ganjil 2025,Ganjil,2025,Manajemen,S1,Aktif,Baik Sekali,Universitas Siliwangi,1772,37,30,1,31,1:47.89,47.89,Kota Tasikmalaya,Prov. Jawa Barat,002008,FEB,Sosial
Ganjil 2025,Ganjil,2025,Manajemen,S2,Aktif,Baik Sekali,Universitas Siliwangi,201,12,3,1,4,1:16.75,16.75,Kota Tasikmalaya,Prov. Jawa Barat,002008,FEB,Sosial
Ganjil 2025,Ganjil,2025,Manajemen Mutu Halal,S1,Aktif,Terakreditasi Sementara,Universitas Siliwangi,111,10,8,0,8,1:11.1,11.1,Kota Tasikmalaya,Prov. Jawa Barat,002008,FEB,Sosial
